Time (s),Vr (km/s),Vn (km/s),V (km/s)
0.0,-0.0,1.7556246724448943,1.7556246724448943
79091.72932330827,-0.012814549552979925,1.755656596608673,1.7557033627283951
158183.45864661655,-0.025629713073220848,1.755752377596189,1.755939433359501
237275.18796992482,-0.038446104654229256,1.7559120409017641,1.7563328836945695
316366.9172932331,-0.05126433864202683,1.7561356290352281,1.7568837127093417
395458.6466165414,-0.06408502976146754,1.7564232015508743,1.757591919071589
474550.37593984965,-0.07690879324262617,1.75677483508806,1.7584575012426993
553642.105263158,-0.08973624494728148,1.757190623423487,1.7594804576080583
632733.8345864662,-0.1025680014955169,1.7576706775352378,1.7606607866360762
711825.5639097744,-0.11540468039246136,1.7582151256786491,1.7619984870656598
790917.2932330827,-0.12824690015519213,1.7588241134741083,1.7634935581218887
870009.0225563911,-0.1410952804398204,1.7594978040069007,1.765145999759651
949100.7518796993,-0.15395044216878065,1.760236377939222,1.7669558129349343
1028192.4812030075,-0.16681300765834325,1.7610400336345025,1.7689229999034533
1107284.210526316,-0.17968360074636774,1.761908987294207,1.771047564546271
1186375.9398496242,-0.19256284692031547,1.762843473107279,1.7733295127220408
1265467.6691729324,-0.20545137344553652,1.763843743412428,1.7757688526454742
1344559.3984962406,-0.21834980949384605,1.7649100688734611,1.7783655952916217
1423651.1278195488,-0.2312587862724025,1.7660427386679,1.7811197548255429
1502742.8571428573,-0.24417893715289948,1.7672420606891102,1.7840313490569082
1581834.5864661655,-0.25711089780108,1.7685083617622241,1.7871003999190933
1660926.3157894737,-0.27005530630658153,1.7698419878741312,1.7903269339722836
1740018.0451127822,-0.28301280331311507,1.7712433044178357,1.7937109829301268
1819109.7744360904,-0.29598403214898106,1.772712696451517,1.7972525842094587
1898201.5037593986,-0.3089696389579247,1.7742505689726218,1.8009517815026204
1977293.2330827068,-0.321970272830323,1.7758573472073664,1.804808625371903
2056384.962406015,-0.33498658593470154,1.777533476916032,1.8088231738656448
2135476.6917293235,-0.34801923364956594,1.7792794247144597,1.812995493155526
2214568.421052632,-0.36106887469554283,1.7810956784121967,1.81732565819462
2293660.15037594,-0.37413617126780385,1.7829827473677362,1.821813753395756
2372751.8796992484,-0.3872217891687564,1.7849411628613538,1.826459873329796
2451843.6090225563,-0.40032639794097197,1.7869714784860464,1.8312641234434206
